transaction_id,timestamp,product_id,quantity,price,customer_id
0,1730069647.364683,24289,4,27.61,61159
1,1730069707.364683,13030,2,35.3,86501
2,1730069767.364683,70195,1,67.62,41306
3,1730069827.364683,43111,1,78.41,29071
4,1730069887.364683,99000,5,82.18,19355
5,1730069947.364683,25290,2,9.92,28979
6,1730070007.364683,54168,5,8.44,82781
7,1730070067.364683,10440,5,5.8,13213
8,1730070127.364683,61549,5,31.29,92002
9,1730070187.364683,39630,2,6.04,84521
10,1730070247.364683,47480,3,87.23,61258
11,1730070307.364683,81126,5,86.96,25065
12,1730070367.364683,34172,1,93.78,28695
13,1730070427.364683,42099,4,32.39,65741
14,1730070487.364683,39009,1,35.41,41313
15,1730070547.364683,42245,2,74.88,20760
16,1730070607.364683,21679,4,81.5,62857
17,1730070667.364683,69630,1,88.27,43031
18,1730070727.364683,76797,1,66.82,84540
19,1730070787.364683,35239,5,85.99,39795
20,1730070847.364683,38728,4,56.34,39003
21,1730070907.364683,35,2,59.37,40336
22,1730070967.364683,2783,2,51.56,63854
23,1730071027.364683,93745,4,5.86,97309
24,1730071087.364683,28217,2,86.38,5062
25,1730071147.364683,6469,3,41.32,23673
26,1730071207.364683,23402,1,86.18,48574
27,1730071267.364683,36589,4,98.13,11724
28,1730071327.364683,60127,4,66.24,30988
29,1730071387.364683,96650,1,9.27,85318
30,1730071447.364683,71239,4,80.37,53890
31,1730071507.364683,23326,5,42.54,18540
32,1730071567.364683,9595,2,73.52,71503
33,1730071627.364683,33297,3,14.08,99931
34,1730071687.364683,55243,4,33.41,75947
35,1730071747.364683,32874,5,64.65,68347
36,1730071807.364683,81514,4,51.62,61258
37,1730071867.364683,88746,5,10.29,37185
38,1730071927.364683,55330,2,48.01,84863
39,1730071987.364683,57628,3,24.76,31512
40,1730072047.364683,21483,5,29.45,51146
41,1730072107.364683,36038,4,46.4,94194
42,1730072167.364683,51579,5,94.63,37877
43,1730072227.364683,94555,3,98.57,45624
44,1730072287.364683,4066,3,17.11,84969
45,1730072347.364683,66828,3,20.96,57833
46,1730072407.364683,18315,2,35.3,89898
47,1730072467.364683,94141,2,24.53,3396
48,1730072527.364683,20435,2,32.46,94619
49,1730072587.364683,58857,5,49.87,73970
50,1730072647.364683,32241,3,93.86,42178
51,1730072707.364683,34614,3,59.48,44335
52,1730072767.364683,1222,4,74.68,77158
53,1730072827.364683,43931,2,26.18,99431
